Резултат_МатВс,count,cumsum
0.0,6,6
0.5,4,10
1.0,27,37
1.5,2,39
2.0,55,94
2.5,25,119
3.0,96,215
3.5,26,241
3.75,1,242
4.0,143,385
4.25,1,386
4.5,36,422
5.0,139,561
5.25,1,562
5.5,53,615
5.75,2,617
6.0,138,755
6.25,1,756
6.5,62,818
6.75,2,820
7.0,150,970
7.25,1,971
7.5,59,1030
8.0,114,1144
8.25,2,1146
8.5,64,1210
9.0,108,1318
9.25,2,1320
9.5,66,1386
9.75,2,1388
10.0,77,1465
10.25,2,1467
10.5,73,1540
10.75,2,1542
11.0,85,1627
11.25,1,1628
11.5,61,1689
11.75,2,1691
12.0,72,1763
12.5,50,1813
12.75,1,1814
13.0,57,1871
13.25,2,1873
13.5,31,1904
13.75,1,1905
14.0,64,1969
14.5,23,1992
14.75,1,1993
15.0,35,2028
15.25,1,2029
15.5,46,2075
15.75,3,2078
16.0,32,2110
16.25,1,2111
16.5,39,2150
16.75,1,2151
17.0,39,2190
17.5,40,2230
17.75,2,2232
17.78,1,2233
18.0,37,2270
18.5,39,2309
18.75,2,2311
19.0,39,2350
19.25,1,2351
19.3,1,2352
19.5,25,2377
20.0,31,2408
20.25,1,2409
20.5,27,2436
21.0,15,2451
21.5,13,2464
22.0,25,2489
22.25,1,2490
22.4,1,2491
22.5,25,2516
23.0,22,2538
23.25,1,2539
23.33,1,2540
23.5,16,2556
24.0,13,2569
24.5,11,2580
25.0,13,2593
25.25,1,2594
25.5,15,2609
26.0,15,2624
26.5,14,2638
27.0,11,2649
27.5,12,2661
27.8,1,2662
28.0,19,2681
28.5,12,2693
28.75,1,2694
29.0,8,2702
29.25,1,2703
29.5,12,2715
30.0,11,2726
30.5,9,2735
31.0,4,2739
31.5,6,2745
32.0,8,2753
32.5,6,2759
33.0,4,2763
33.5,4,2767
33.75,1,2768
34.0,7,2775
34.5,4,2779
35.5,2,2781
36.0,3,2784
36.5,4,2788
37.0,2,2790
37.5,5,2795
38.0,2,2797
38.5,2,2799
39.0,1,2800
39.5,1,2801
40.0,1,2802
42.5,1,2803
