Резултат_Олимпиада,count,cumsum
0.0,38,38
0.5,4,42
1.0,42,84
1.25,1,85
1.5,14,99
1.75,1,100
2.0,45,145
2.25,1,146
2.5,12,158
2.75,1,159
3.0,71,230
3.25,3,233
3.5,20,253
3.75,5,258
4.0,65,323
4.25,3,326
4.4,1,327
4.5,19,346
4.75,4,350
5.0,40,390
5.25,3,393
5.5,20,413
5.75,2,415
6.0,112,527
6.25,4,531
6.38,1,532
6.5,41,573
6.75,4,577
7.0,105,682
7.25,6,688
7.5,32,720
7.75,5,725
7.88,1,726
8.0,74,800
8.25,11,811
8.5,40,851
8.75,5,856
9.0,91,947
9.25,9,956
9.5,47,1003
9.75,9,1012
10.0,105,1117
10.25,12,1129
10.5,22,1151
10.75,6,1157
11.0,66,1223
11.25,8,1231
11.5,37,1268
11.75,5,1273
12.0,60,1333
12.25,3,1336
12.5,38,1374
12.75,11,1385
12.88,1,1386
13.0,84,1470
13.25,3,1473
13.5,44,1517
13.75,7,1524
13.88,1,1525
14.0,87,1612
14.25,10,1622
14.5,20,1642
14.75,5,1647
15.0,71,1718
15.25,2,1720
15.5,30,1750
15.75,2,1752
16.0,57,1809
16.25,2,1811
16.5,26,1837
16.75,2,1839
17.0,58,1897
17.25,5,1902
17.5,22,1924
17.75,3,1927
18.0,42,1969
18.25,1,1970
18.5,15,1985
18.75,3,1988
18.8,1,1989
19.0,53,2042
19.25,2,2044
19.5,28,2072
19.75,1,2073
20.0,77,2150
20.25,3,2153
20.5,27,2180
20.75,1,2181
21.0,79,2260
