Област,Прием,Класове,count
Благоевград,52,2,1.0
Бургас,78,3,4.0
Варна,78,3,6.0
Велико Търново,0,0,0.0
Видин,26,1,0.0
Враца,52,2,1.0
Габрово,26,1,1.0
Добрич,26,1,0.0
Кърджали,0,0,0.0
Кюстендил,52,2,1.0
Ловеч,26,1,0.0
Монтана,26,1,1.0
Пазарджик,52,2,0.0
Перник,26,1,0.0
Плевен,26,1,1.0
Пловдив,52,2,4.0
Разград,26,1,0.0
Русе,52,2,2.0
Силистра,26,1,0.0
Сливен,52,2,1.0
Смолян,26,1,0.0
София област,52,2,0.0
София-град,208,8,24.0
Стара Загора,104,4,1.0
Търговище,0,0,0.0
Хасково,52,2,1.0
Шумен,52,2,1.0
Ямбол,52,2,0.0
