Училище,count
1. СУ "Пенчо П. Славейков",1
10. СУ "Теодор Траянов",4
101. СУ "Бачо Киро",1
104. ОУ "Захари Стоянов",2
105. СУ "Атанас Далчев",3
107. ОУ "Хан Крум",10
109. ОУ "Христо Смирненски",2
11. ОУ "Св. Пимен Зографски",2
112. ОУ "Стоян Заимов",4
118. СУ "Акад. Л. Стоянов",1
119. СУ "Акад. М. Арнаудов",7
12. СУ "Цар Иван Асен II",3
120. ОУ "Г. С. Раковски",2
121. СУ "Георги Измирлиев",3
122. ИОУ "Николай Лилиев",4
125. СУ "Боян Пенев",6
128. СУ "Алберт Айнщайн",3
131. СУ "Кл. Арк. Тимирязев",2
133. СУ "Ал. С. Пушкин",1
134. СУ "Димчо Дебелянов",1
137. СУ "Ангел Кънчев",2
138. СУЗИЕ "Проф. Васил Златарски",3
139. ОУ "Захарий Круша",1
14. СУ "Проф. д-р Асен Златаров",2
142. ОУ "Веселин Ханчев",1
144. СУ "Народни будители",1
145. ОУ "Симеон Радев",4
149. СУ "Иван Хаджийски",1
16. ОУ "Райко Жинзифов",1
19. СУ "Елин Пелин",1
2. СУ "Акад. Ем. Станев",5
20. ОУ "Тодор Минков",2
21. СУ "Христо Ботев",1
23. СУ "Фредерик Жолио-Кюри",2
25. ОУ "Д-р Петър Берон",3
26. СУ "Йордан Йовков",1
30. СУ "Братя Миладинови",1
31. СУЧЕМ "Иван Вазов",2
32. СУИЧЕ "Св. Кл. Охридски",3
34. ОУ "Стою Шишков",5
35. СЕУ "Добри Войников",1
36. СУ "Максим Горки",8
38. ОУ "В. Априлов",2
39. СУ "Петър Динеков",1
40. СУ "Луи Пастьор",1
43. ОУ "Христо Смирненски",1
44. СУ "Неофит Бозвели",1
45. ОУ "Константин Величков",1
47. СУ "Христо Г. Данов",2
5. ОУ "Иван Вазов",1
50. ОУ "Васил Левски",1
51. СУ "Елисавета Багряна",2
52. ОУ "Цанко Церковски",2
53. ОУ "Николай Хрелков",1
54. СУ "Св. Иван Рилски",3
55. СУ "Петко Каравелов",9
56. СУ "Проф. Константин Иречек",1
6. ОУ "Граф Н. П. Игнатиев",2
7. СУ "Св. Седмочисленици",3
73. СУ "Владислав Граматик",4
79. СУ "Индира Ганди",3
8. СУ "Васил Левски",2
81. СУ "Виктор Юго",1
95. СУ "Проф. д-р Иван Шишманов",1
96. СУ "Л. Н. Толстой",1
97. СУ "Братя Миладинови",1
НСУ "София" (151.),1
НУККЛИИЕК,1
Немско училище "София",1
ЧЕСУ "Дорис Тенеди",1
ЧНУ "Канадско мече",1
ЧОУ "Азбуки",3
ЧОУ "Д-р Петър Берон",1
ЧОУ "Изгрев",1
ЧОУ "Образователни технологии",2
ЧОУ "Питагор",18
ЧОУ "Прогресивно образование 1 – София",1
ЧОУ "Прогресивно образование 3 – София",1
ЧОУ "Св. Климент Охридски",2
ЧОУ "Света София",9
ЧСЕУ "Британика",1
ЧСУ "Българско школо",2
ЧСУ "Наука за деца" (Izzi Science for Kids),4
ЧСУ "П. Р. Славейков",1
ЧСУ с РЧЕО "ЕСПА",3
ЧСУНЕ "Веда",1
