Област,Прием,Класове,count,diff,classes
Благоевград,52,2,22.0,30.0,1
Бургас,78,3,107.0,-29.0,-1
Варна,78,3,162.0,-84.0,-3
Велико Търново,0,0,5.0,-5.0,0
Видин,26,1,7.0,19.0,1
Враца,52,2,29.0,23.0,1
Габрово,26,1,13.0,13.0,0
Добрич,26,1,1.0,25.0,1
Кърджали,0,0,1.0,-1.0,0
Кюстендил,52,2,15.0,37.0,1
Ловеч,26,1,7.0,19.0,1
Монтана,26,1,11.0,15.0,1
Пазарджик,52,2,6.0,46.0,2
Перник,26,1,9.0,17.0,1
Плевен,26,1,16.0,10.0,0
Пловдив,52,2,99.0,-47.0,-2
Разград,26,1,6.0,20.0,1
Русе,52,2,52.0,0.0,0
Силистра,26,1,7.0,19.0,1
Сливен,52,2,17.0,35.0,1
Смолян,26,1,3.0,23.0,1
София област,52,2,11.0,41.0,2
София-град,208,8,644.0,-436.0,-17
Стара Загора,104,4,19.0,85.0,3
Търговище,0,0,0.0,0.0,0
Хасково,52,2,16.0,36.0,1
Шумен,52,2,10.0,42.0,2
Ямбол,52,2,5.0,47.0,2
